pedido_id,data,uf,canal,categoria,produto,cliente_id,quantidade,receita,lucro,observacao
1000,2024/04/29,SP,Loja Física,Informática,Notebook Pro,C134,1,4535.11,1289.83,ok
1001,2024-06-17,PR,,Informática,Notebook Pro,C106,1,4005.59,541.36,entrega rápida
1002,2024-05-27,PR,Marketplace,Periféricos,Teclado Mecânico,C131,1,309.02,128.26,entrega rápida
1003,2024-07-08,SP,Marketplace,Informática,Notebook Pro,C148,2,7943.78,1574.09,ok
1004,2024-05-20,RS,Online,Informática,Notebook Pro,C105,5,19926.65,4281.84,ok
1005,2024-02-26,RJ,Loja Física,Periféricos,Teclado Mecânico,C155,2,752.94,375.76,
1006,2024-07-29,RJ,Loja Física,Áudio,Headset Pro,C143,4,1154.6,491.0,
1007,2024-09-23,PR,Online,Informática,Monitor 27,C150,5,6938.5,1379.84,
1008,2024-08-19,SC,Loja Física,Áudio,Caixa de Som,C165,1,389.08,138.19,ok
1009,2024-11-18,,Loja Física,Periféricos,Teclado Mecânico,C133,1,316.41,153.73,entrega rápida
1010,2024-05-27,SC,Online,Telefonia,Smartphone X,C158,3,6752.19,736.8,
1011,2024-01-08,ES,Marketplace,Telefonia,Smartphone X,C111,2,6230.34,1868.54,cliente premium
1012,2024-06-03,ES,Loja Física,Informática,Notebook Pro,C168,3,13293.72,4115.9,ok
1013,2024-08-05,ES,Marketplace,Áudio,Headset Pro,C161,3,785.88,347.34,entrega rápida
1014,2024-08-26,RS,Loja Física,Periféricos,Teclado Mecânico,C159,2,zero,323.62,ok
1015,2024-02-26,RS,Online,Informática,Notebook Pro,C102,3,0,,cliente premium
1016,2024-10-28,BA,Loja Física,Telefonia,Smartphone X,C153,4,13677.0,5446.4,ok
1017,2024/09/30,SP,Marketplace,Periféricos,Mouse Gamer,C145,2,,237.4,ok
1018,08/07/2024,rj,Marketplace,Periféricos,Mouse Gamer,C148,3,0,304.18,ok
1019,2024-01-08,PR,Loja Física,Telefonia,Tablet Plus,C160,5,11756.35,3855.33,ok
1020,2024-07-01,PR,Online,Telefonia,Smartphone X,C120,2,6168.82,1699.68,
1021,2024-11-11,MG,Loja Física,Periféricos,Mouse Gamer,C130,1,200.41,106.78,ok
1022,2024-12-02,SC,Marketplace,Informática,Notebook Pro,C139,3,12365.04,3340.22,entrega rápida
1023,2024-12-09,SC,Loja Física,Áudio,Headset Pro,C116,3,871.47,411.42,cliente premium
1024,2024-10-07,MG,Marketplace,Periféricos,Mouse Gamer,C149,5,821.0,418.77,
1025,2024-11-25,MG,Loja Física,Informática,Notebook Pro,C102,4,16257.88,3538.54,cliente premium
1026,2024-11-25,RS,Loja Física,Áudio,Caixa de Som,C154,2,714.64,204.51,ok
1027,2024-08-19,PR,Marketplace,Periféricos,Teclado Mecânico,C165,2,725.04,371.32,entrega rápida
1028,2024-08-12,SP,Marketplace,Telefonia,Smartphone X,C147,3,7944.21,1585.92,entrega rápida
1029,2024-02-05,BA,Marketplace,Telefonia,Smartphone X,C131,1,3384.21,1166.12,entrega rápida
1030,2024-04-22,SC,Online,Telefonia,Smartphone X,C164,5,13029.85,1930.28,ok
1031,2024-08-12,ES,Online,Informática,Monitor 27,C124,5,  7299.0,1778.33,cliente premium
1032,2024-02-05,PR,Online,,Monitor 27,C143,1,,266.46,entrega rápida
1033,2024-12-16,RS,Loja Física,Periféricos,Teclado Mecânico,C150,2,672.88,366.5,ok
1034,2024-11-11,RS,Loja Física,Áudio,Headset Pro,C150,4,1352.8,713.59,entrega rápida
1035,2024-09-30,RJ,Marketplace,Periféricos,Teclado Mecânico,C177,3,973.8,511.28,
1036,2024-11-04,BA ,Marketplace,Telefonia,Smartphone X,C106,4,10110.16,1498.34,cliente premium
1037,2024-06-10,SC,Loja Física,Áudio,Caixa de Som,C145,5,1929.4,699.33,entrega rápida
1038,2024-05-27,ES,Online,Áudio,Caixa de Som,C148,4,1676.56,782.37,ok
1039,2024-06-17,BA,Online,Telefonia,Tablet Plus,C171,3,7287.54,3243.18,
1040,2024-01-29,BA,Online,Telefonia,Smartphone X,C133,3,8315.73,1675.88,cliente premium
1041,2024-06-17,RJ,Marketplace,Informática,Notebook Pro,C149,4,18962.08,6335.03,cliente premium
1042,2024-07-22,PR,Online,Periféricos,Mouse Gamer,C157,4,"R$ 748,80",380.26,cliente premium
1043,2024-09-09,PR,Online,Áudio,Caixa de Som,C158,2,754.58,300.98,cliente premium
1044,2024-01-22,MG,ONLINE,Telefonia,Smartphone X,C102,2,5949.26,1381.85,
1045,2024-11-18,MG,Loja Física,Áudio,Caixa de Som,C168,3,  1175.97,390.96,ok
1046,2024-08-26,MG,Loja Física,,Caixa de Som,C147,5,1991.95,841.36,entrega rápida
1047,2024-07-22,BA,Marketplace,Informática,Notebook Pro,C174,3,13877.43,4117.7,ok
1048,2024-11-18,SC,Online,Telefonia,Smartphone X,C108,4,11403.2,2402.44,cliente premium
1049,2024-03-11,SC,Loja Física,Áudio,Headset Pro,C154,5,1373.15,567.42,ok
1050,2024-08-05,MG,Online,Informática,Notebook Pro,C105,3,12885.99,3963.7,cliente premium
1051,2024-12-02,ES,Loja Física,,Teclado Mecânico,C163,1,zero,122.47,
1052,2024-05-06,SP,Online,Informática,Monitor 27,C156,4,5745.28,1256.06,cliente premium
1053,data_invalida,SP,Marketplace,Informática,Monitor 27,C150,3,"R$ 4.507,32",1387.87,
1054,2024-02-19,RJ,Marketplace,Áudio,Caixa de Som,C155,3,1299.33,555.37,
1055,2024-03-04,RS,Online,Telefonia,Smartphone X,C124,2,6506.98,2347.89,entrega rápida
1056,2024-01-15,ES,Online,Informática,Monitor 27,C109,3,4401.21,1416.43,
1057,2024-01-01,SC,Marketplace,Informática,Notebook Pro,C141,3,11853.27,2218.27,ok
1058,2024-04-15,SC,Marketplace,Informática,Notebook Pro,C137,4,18778.28,5781.55,entrega rápida
1059,2024-02-19,BA,Marketplace,Áudio,Headset Pro,C141,2,542.46,220.22,entrega rápida
1060,2024-11-25,PR,Online,Informática,Notebook Pro,C159,3,14071.26,3801.49,entrega rápida
1061,data_invalida,SC,Loja Física,Telefonia,Tablet Plus,C171,2,4015.66,1399.22,entrega rápida
1062,2024-01-29,RS,Online,Telefonia,Tablet Plus,C136,2,3871.38,924.6,entrega rápida
1063,2024-11-18,SP,Online,Áudio,Caixa de Som,C115,4,1663.24,704.68,
1064,2024-09-02,RJ,Loja Física,Telefonia,Smartphone X,C166,3,8612.22,1947.2,cliente premium
1065,2024-06-10,ES,Loja Física,Áudio,Headset Pro,C106,1,273.97,114.86,ok
1066,2024-09-16,PR,Marketplace,Periféricos,Mouse Gamer,C110,3,  530.58,251.09,entrega rápida
1067,2024-03-18,SC,Online,Telefonia,Tablet Plus,C160,2,4939.44,1836.2,entrega rápida
1068,2024-03-11,SP,,Informática,Notebook Pro,C104,3,12391.68,2833.21,ok
1069,2024-04-08,RS,Loja Física,Periféricos,Teclado Mecânico,C125,2,635.12,290.38,
1070,22/01/2024,MG,Online,Informática,Notebook Pro,C159,4,17579.12,4955.04,ok
1071,2024-10-21,RJ,Loja Física,Periféricos,Teclado Mecânico,C156,1,302.87,119.17,entrega rápida
1072,2024-04-15,SC,Loja Física,Informática,Monitor 27,C118,4,6177.4,2137.27,ok
1073,06/05/2024,PR,Marketplace,Informática,Notebook Pro,C151,3,11334.3,1999.23,cliente premium
1074,2024-01-22,RJ,Marketplace,Informática,Monitor 27,C108,3,4369.8,1069.14,ok
1075,2024-05-06,ES,Online,Informática,Monitor 27,C171,1,1396.15,418.32,ok
1076,2024-07-01,,Loja Física,Áudio,Headset Pro,C180,1,282.78,135.58,entrega rápida
1077,2024-01-15,BA,Loja Física,Telefonia,Tablet Plus,C140,4,8234.12,2213.48,ok
1078,2024-08-12,RJ,Marketplace,,Smartphone X,C137,3,8397.81,1457.09,ok
1079,2024-11-18,MG,Marketplace,Telefonia,Tablet Plus,C141,3,6599.4,2144.2,
1080,2024-11-18,ES,Loja Física,Periféricos,Mouse Gamer,C109,3,552.09,278.72,entrega rápida
1081,2024-11-18,PR,Loja Física,Informática,Monitor 27,C161,2,3104.62,1038.11,cliente premium
1082,2024-06-17,RJ,,Periféricos,Teclado Mecânico,C103,4,1059.6,429.41,entrega rápida
1083,2024-06-10,MG,Online,Informática,Monitor 27,C117,4,6894.2,2518.84,ok
1084,2024-02-19,SP,Loja Física,Áudio,Headset Pro,C107,2,484.2,152.32,cliente premium
1085,2024-02-26,BA,Loja Física,Telefonia,Smartphone X,C111,3,9111.12,2473.07,cliente premium
1086,2024-10-21,SP,Loja Física,Periféricos,Mouse Gamer,C136,3,667.8,397.88,cliente premium
1087,2024-04-15,RJ,Online,Áudio,Caixa de Som,C114,3,1218.06,519.07,ok
1088,2024-06-17,PR,Marketplace,Áudio,Caixa de Som,C123,4,1593.6,603.07,entrega rápida
1089,2024-01-01,SC,Online,Telefonia,Tablet Plus,C130,3,6914.37,2319.83,ok
1090,2024-02-26,SP,Online,Telefonia,Tablet Plus,C168,1,1877.15,271.52,cliente premium
1091,2024-03-11,SC,Loja Física,Telefonia,Tablet Plus,C108,2,3756.28,856.72,ok
1092,2024-12-16,SC,Loja Física,Periféricos,Mouse Gamer,C172,5,797.75,367.25,ok
1093,2024-05-13,BA,Marketplace,Informática,Monitor 27,C170,2,2699.72,724.07,cliente premium
1094,2024-10-21,MG,Loja Física,Informática,Notebook Pro,C136,1,4045.04,901.83,entrega rápida
1095,2024-04-01,RS,Online,Telefonia,Tablet Plus,C154,2,3644.36,456.36,ok
1096,2024-03-11,RJ,Marketplace,Periféricos,Teclado Mecânico,C128,1,327.12,166.26,ok
1097,2024-09-16,ES,Loja Física,Áudio,Caixa de Som,C172,4,1765.4,847.53,
1098,2024-01-29,ES,MarketPlace,Telefonia,Smartphone X,C156,1,3061.42,655.08,ok
1099,2024-11-04,RJ,Online,Áudio,Headset Pro,C104,4,1134.4,468.17,entrega rápida
1100,2024-11-11,RJ,Loja Física,Periféricos,Mouse Gamer,C160,4,"R$ 672,24",324.1,
1101,2024/10/21,MG,Marketplace,Telefonia,Smartphone X,C151,4,11466.36,2087.05,
1102,2024-02-05,RJ,Online,Periféricos,Mouse Gamer,C119,2,381.62,,entrega rápida
1103,2024-06-10,SC,Marketplace,Áudio,Headset Pro,C133,3,919.02,422.7,cliente premium
1104,2024-03-18,SP,,Telefonia,Tablet Plus,C174,2,4415.12,1208.87,entrega rápida
1105,2024-07-22,ES,Marketplace,Periféricos,Mouse Gamer,C170,3,529.26,268.3,
1106,2024-06-10,BA,Loja Física,Informática,Notebook Pro,C147,3,13291.68,4084.16,cliente premium
1107,2024-03-25,MG,Online,Telefonia,Smartphone X,C147,1,2812.83,764.6,ok
1108,2024-08-05,PR,Loja Física,Periféricos,Mouse Gamer,C122,4,695.44,367.04,ok
1109,2024-04-08,SC,Online,Periféricos,Mouse Gamer,C164,3,531.69,255.63,ok
1110,2024-08-19,ES,Marketplace,Áudio,Caixa de Som,C167,3,1413.87,712.54,
1111,2024-05-20,SC,Marketplace,Telefonia,Smartphone X,C134,3,8628.36,2121.63,cliente premium
1112,2024-03-18,ES,Online,Áudio,Caixa de Som,C106,3,1283.25,515.01,entrega rápida
1113,2024-01-15,MG,Online,Telefonia,Smartphone X,C121,1,2781.6,630.85,
1114,2024-12-09,ES,Loja fisica,Periféricos,Teclado Mecânico,C123,4,0,627.92,
1115,2024-07-29,MG,Loja Física,Informática,Notebook Pro,C144,3,12566.04,2879.76,
1116,2024-01-29,SC,Marketplace,,Monitor 27,C160,2,3412.56,1346.57,
1117,2024-01-22,SC,Loja Física,Telefonia,Smartphone X,C111,3,8073.6,1780.83,cliente premium
1118,2024-07-22,RJ,Online,Áudio,Caixa de Som,C104,1,397.1,168.59,cliente premium
1119,2024-05-20,ES,Marketplace,Telefonia,Smartphone X,C170,6,14771.22,2315.92,
1120,2024-10-21,ES,Online,Telefonia,Smartphone X,C123,2,6112.5,1803.53,entrega rápida
1121,2024-03-25,RS,Loja Física,Áudio,Caixa de Som,C101,4,1510.52,547.67,cliente premium
1122,2024-04-29,PR,Marketplace,Perifericos,Teclado Mecânico,C139,5,1476.15,,ok
1123,2024-04-01,RJ,Online,Telefonia,Smartphone X,C171,3,7132.92,727.28,entrega rápida
1124,2024-09-23,RS,Marketplace,Informática,Notebook Pro,C153,5,21226.95,6196.77,
1125,2024-01-29,ES,Online,Áudio,Caixa de Som,C144,4,1577.12,599.84,entrega rápida
1126,2024-11-04,SC,Marketplace,Telefonia,Smartphone X,C162,4,10561.84,1414.32,ok
1127,2024-01-29,PR,Marketplace,Telefonia,Tablet Plus,C148,2,3761.26,893.68,ok
1128,2024-04-22,SP,Marketplace,Informática,Monitor 27,C115,3,4539.39,1511.07,cliente premium
1129,2024-03-25,SP,Online,Periféricos,Teclado Mecânico,C154,4,1305.76,649.38,
1130,2024-07-15,RJ,Loja Física,Telefonia,Tablet Plus,C106,4,9180.24,3209.85,ok
1131,2024-08-12,SC,Loja Física,Áudio,Headset Pro,C142,3,720.81,250.59,cliente premium
1132,2024-01-29,PR,Marketplace,Telefonia,Smartphone X,C123,3,8870.79,2326.37,ok
1133,2024-07-15,SC,Marketplace,Informática,Notebook Pro,C141,3,14146.35,4800.71,ok
1134,2024-05-06,PR,Marketplace,Informática,Monitor 27,C136,2,"R$ 2.685,80",586.71,entrega rápida
1135,2024-09-23,RS,Loja Física,Telefonia,Smartphone X,C128,4,9975.0,1467.98,ok
1136,2024-03-04,ES,Loja Física,Áudio,Caixa de Som,C130,3,1313.64,579.86,
1137,2024-05-13,MG,Online,Informática,Monitor 27,C159,3,4419.24,1193.34,
1138,2024-07-29,RS,Loja Física,Telefonia,Smartphone X,C134,4,zero,893.48,
1139,2024-02-05,SC,Loja Física,Áudio,Headset Pro,C112,3,804.39,383.02,cliente premium
1140,2024-09-09,MG,Online,Telefonia,Tablet Plus,C107,1,2385.27,936.91,entrega rápida
1141,16/12/2024,RS,Loja fisica,Telefonia,Tablet Plus,C178,1,2023.32,579.21,cliente premium
1142,2024-12-09,BA,Online,Informática,Monitor 27,C166,3,5046.12,1988.51,entrega rápida
1143,2024-11-25,,Marketplace,Telefonia,Tablet Plus,C149,3,5721.78,879.74,ok
1144,2024-07-22,MG,Online,Telefonia,Smartphone X,C144,3,"R$ 7.947,06",1048.64,entrega rápida
1145,2024-05-13,SC,Online,Periféricos,Teclado Mecânico,C120,5,1620.65,840.32,
1146,2024-09-30,ES,Marketplace,Áudio,Headset Pro,C125,5,"R$ 1.434,75",587.93,cliente premium
1147,2024-09-16,RJ,Loja Física,Informática,Monitor 27,C124,2,2904.34,792.74,
1148,2024-03-18, mg,Loja Física,Informática,Notebook Pro,C179,5,21240.2,6245.67,entrega rápida
1149,2024-01-15,SP,Online,Telefonia,Smartphone X,C105,3,9834.15,3212.43,cliente premium
1150,2024-02-05,MG,Loja Física,Informática,Monitor 27,C155,3,4045.47,1116.44,entrega rápida
1151,2024-09-02,,Marketplace,Periféricos,Mouse Gamer,C130,2,350.6,169.66,ok
1152,2024-03-04,ES,Marketplace,Telefonia,Tablet Plus,C139,3,7107.36,2594.16,entrega rápida
1153,2024-12-02,MG,Marketplace,Áudio,Caixa de Som,C147,4,1634.84,605.29,
1154,2024/09/30,RS,Loja Física,Informática,Notebook Pro,C155,1,3998.83,641.54,
1155,2024-09-09,MG,Online,Periféricos,Teclado Mecânico,C129,3,"R$ 1.031,55",511.73,cliente premium
1156,12/08/2024,MG,Marketplace,Áudio,Caixa de Som,C175,4,1720.44,728.1,entrega rápida
1157,2024-08-19,MG,Online,Periféricos,Teclado Mecânico,C163,5,1726.25,834.01,ok
1158,2024-05-13,MG,Loja fisica,Periféricos,Mouse Gamer,C102,3,514.86,253.76,
1159,2024-04-08,ES,Marketplace,Telefonia,Tablet Plus,C155,4,6761.36,1153.51,ok
1160,2024-04-22,BA,,Áudio,Headset Pro,C130,2,548.9,271.0,entrega rápida
1161,2024-03-25,RJ,Marketplace,Informática,Monitor 27,C111,5,7860.1,2089.15,
1162,2024-08-05,SP,Online,Áudio,Headset Pro,C159,4,1212.32,500.3,cliente premium
1163,2024-07-08,BA,Online,Periféricos,Mouse Gamer,C157,2,"R$ 316,70",138.79,ok
1164,2024-04-22,PR,Online,Periféricos,Teclado Mecânico,C156,2,626.84,304.69,
1165,2024-02-19, mg,Loja Física,Áudio,Headset Pro,C144,4,1165.96,526.82,cliente premium
1166,2024-04-08,PR,ONLINE,Periféricos,Mouse Gamer,C132,3,533.85,253.7,cliente premium
1167,2024-02-12,RJ,Marketplace,Periféricos,Mouse Gamer,C144,3,528.54,245.99,cliente premium
1168,2024-07-15,SC,Online,Áudio,Caixa de Som,C122,5,2269.35,1128.77,entrega rápida
1169,2024-10-14,PR,Online,Periféricos,Teclado Mecânico,C157,2,552.88,216.94,entrega rápida
1170,2024-11-25,SC,Loja Física,Informática,Monitor 27,C148,4,5936.24,1330.76,entrega rápida
1171,09/09/2024,PR,Loja Física,Áudio,Headset Pro,C168,2,511.24,182.14,
1172,2024-11-11,ES,Loja Física,Informática,Notebook Pro,C128,3,13154.04,3408.22,entrega rápida
1173,2024-09-23,,Loja Física,Periféricos,Teclado Mecânico,C178,3,797.01,305.53,cliente premium
1174,2024-10-14,RS,Loja Física,Informática,Notebook Pro,C158,2,8166.16,1909.65,ok
1175,2024-01-08,BA,Online,Informática,Monitor 27,C134,4,6288.44,2326.08,entrega rápida
1176,2024-03-18,MG,Online,Áudio,Caixa de Som,C167,4,1716.84,734.48,entrega rápida
1177,2024-10-14,BA,Loja Física,Periféricos,Teclado Mecânico,C170,1,331.28,160.58,
1178,2024-06-17,SC,Loja Física,Informática,Notebook Pro,C141,4,19198.16,5381.8,entrega rápida
1179,2024-04-08,RS,Marketplace,Periféricos,Mouse Gamer,C138,3,539.91,261.38,ok
1180,2024-03-11,SC,Loja Física,Telefonia,Smartphone X,C158,1,2563.44,415.42,
1181,2024-01-22,ES,Online,Informática,Notebook Pro,C159,5,20443.7,3241.64,
1182,12/02/2024,RS,Online,Informática,Monitor 27,C179,1,1309.54,266.03,cliente premium
1183,2024-03-25,ES,Online,Periféricos,Teclado Mecânico,C108,4,1272.88,596.13,ok
1184,2024-08-26,RS,ONLINE,Áudio,Caixa de Som,C124,3,1056.54,294.85,cliente premium
1185,2024-10-07,ES,Marketplace,Telefonia,Tablet Plus,C179,2,4566.08,1576.66,entrega rápida
1186,2024-01-15,ES,Marketplace,Informática,Monitor 27,C138,4,6164.76,1987.16,cliente premium
1187,2024-05-06,MG,Marketplace,Áudio,Caixa de Som,C150,3,1085.07,364.85,cliente premium
1188,2024-04-15,MG,Online,Periféricos,Teclado Mecânico,C147,5,1767.45,959.31,entrega rápida
1189,2024-02-12,RS,Online,Telefonia,Smartphone X,C102,4,11830.12,2670.56,cliente premium
1190,2024-10-14,SC,Marketplace,Informática,Notebook Pro,C143,3,12364.62,2125.92,ok
1191,2024-10-07,ES,Loja Física,Periféricos,Teclado Mecânico,C152,3,1056.42,521.57,entrega rápida
1192,2024-09-16,BA,Online,Áudio,Caixa de Som,C175,3,1213.56,424.09,cliente premium
1193,2024-07-29,BA,Marketplace,telefonia ,Headset Pro,C162,3,789.03,337.83,cliente premium
1194,2024-03-11,RS,Loja Física,Telefonia,Smartphone X,C167,4,0,3297.28,ok
1195,2024-03-04,SC,Marketplace,Periféricos,Teclado Mecânico,C106,4,1296.36,672.82,cliente premium
1196,2024-10-28,RS,ONLINE,Telefonia,Tablet Plus,C127,4,9295.92,2527.96,entrega rápida
1197,2024-01-08,ES,Marketplace,Telefonia,Smartphone X,C129,3,8861.91,1731.73,entrega rápida
1198,22/04/2024,ES,Loja Física,Periféricos,Teclado Mecânico,C117,3,981.15,487.23,
1199,2024-11-25,ES,Online,Telefonia,Tablet Plus,C108,1,2253.33,848.85,entrega rápida
1200,2024-04-15,RJ,Loja Física,Periféricos,Teclado Mecânico,C143,5,1499.1,637.83,cliente premium
1201,2024-10-28,SC,Loja Física,Informática,Monitor 27,C171,2,"R$ 3.281,90",1150.31,ok
1202,2024-10-14,SC,Marketplace,Áudio,Headset Pro,C123,6,1534.38,554.51,
1203,2024-05-20,ES,Loja Física,Periféricos,Teclado Mecânico,C168,3,981.51,430.81,ok
1204,2024-12-02,SC,Marketplace,Periféricos,Teclado Mecânico,C143,4,1162.48,464.34,
1205,2024-01-08,RS,Online,telefonia ,Mouse Gamer,C179,2,346.36,156.95,ok
1206,2024-01-29,MG,Marketplace,Telefonia,Tablet Plus,C112,2,4072.42,1067.56,entrega rápida
1207,2024-10-14,ES,Loja Física,Telefonia,Smartphone X,C130,4,12139.72,3442.86,entrega rápida
1208,2024-07-15,RJ,Online,Informática,Monitor 27,C108,3,4082.34,1052.01,entrega rápida
1209,2024-05-27,MG,Marketplace,Áudio,Caixa de Som,C121,2,810.2,282.52,
1210,2024-09-16,ES,Online,Áudio,Caixa de Som,C154,2,0,,ok
1211,2024-01-29,PR,Marketplace,Áudio,Caixa de Som,C109,4,1433.04,516.56,entrega rápida
1212,2024-09-16,ES,Marketplace,Áudio,Caixa de Som,C117,4,1363.84,399.24,entrega rápida
1213,2024-04-15,MG,Online,Informática,Monitor 27,C134,4,0,2725.42,cliente premium
1214,2024-04-15,ES,Online,Periféricos,Mouse Gamer,C132,2,"R$ 411,96",232.19,cliente premium
1215,2024-02-19,ES,Marketplace,Telefonia,Smartphone X,C139,2,5467.08,1281.04,ok
1216,2024-11-04,BA,Online,Periféricos,Mouse Gamer,C166,2,391.34,203.35,
1217,2024-06-10,PR,Loja Física,Informática,Monitor 27,C179,1,1525.75,,entrega rápida
1218,2024-08-05,RJ,Online,Telefonia,Tablet Plus,C107,4,8294.92,2183.46,ok
1219,2024-07-29,SC,Online,Periféricos,Mouse Gamer,C166,3,445.53,174.9,ok
1132,2024-01-29,PR,Marketplace,Telefonia,Smartphone X,C123,3,8870.79,2326.37,ok
1148,2024-03-18, mg,Loja Física,Informática,Notebook Pro,C179,5,21240.2,6245.67,entrega rápida
1093,2024-05-13,BA,Marketplace,Informática,Monitor 27,C170,2,2699.72,724.07,cliente premium
1180,2024-03-11,SC,Loja Física,Telefonia,Smartphone X,C158,1,2563.44,415.42,
1015,2024-02-26,RS,Online,Informática,Notebook Pro,C102,3,15011.49,,cliente premium
1115,2024-07-29,MG,Loja Física,Informática,Notebook Pro,C144,3,12566.04,2879.76,
1172,2024-11-11,ES,Loja Física,Informática,Notebook Pro,C128,3,13154.04,3408.22,entrega rápida
1209,2024-05-27,MG,Marketplace,Áudio,Caixa de Som,C121,2,810.2,282.52,
